,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
252,高鐵戀館 ,烏日區,7.3,306,1714
253,Dream 25 ,北區,8.2,1176,3896
254,風緻主題精品旅館 ,大里區,7.5,919,2102
255,米奇汽車旅館 ,南屯區,6.7,512,2262
256,風自然親子時尚旅宿 ,后里區,8.8,182,4745
257,my house ,逢甲,9.1,66,693
258,優勝美地汽車旅館中華會館 ,北區,8.3,747,2580
259,框框背包客棧 ,龍井鄉,9.3,1008,1278
260,台中傳思文旅 ,南區,8.1,2360,902
261,DiJa,龍井鄉,8.5,54,876
262,逢甲樓上-長短期套房,逢甲,7.8,126,1114
263,驚奇青旅 ,逢甲,8.5,340,736
264,佳佳鴨小棧,逢甲,7.1,143,771
265,逢甲楨棧 ,逢甲,9.2,84,866
266,一中夏天 ,北區,8.7,373,1039
267,樂府大飯店 ,中區,6.7,1336,779
268,紫芋之宿,北區,7.1,58,771
269,有機書店文旅 - 東勢店 ,東勢區,9.0,32,1192
