,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
328,威尼斯汽車旅館 ,苓雅區,7.9,274,2185
329,眷村戀影 高雄左營眷村民宿 ,左營區,9.3,36,1777
330,登雲Villa民宿 ,旗山區,9.2,18,4502
331,艾旅汽車旅館  ,鳳山區,8.0,45,1558
332,綠芙香氛SPA 民宿 ,左營區,7.9,11,1558
333,新興區的1臥室獨棟住宅 - 30平方公尺/1間專用衛浴 ,苓雅區,no info,no info,2619
334,J.S 23,楠梓區,9.5,10,3896
335,HWA NAH Motel,三民區,no info,no info,2014
336,香蕉與黑膠三合院  ,美濃區,9.2,125,4174
337,街景雙人房B - 近捷運/三多商圈 ,苓雅區,9.1,3,1497
338,萬酈精品旅館,三民區,7.2,43,3655
339,高雄套房1 ,小港區,7.5,14,1423
340,海軍官邸四號院 ,左營區,9.3,31,1732
341,興達港民宿 ,茄萣區,8.9,31,1429
342,大埔鄉獨棟住宅套房 - 61平方公尺/1間專用衛浴 ,杉林區,no info,no info,1803
343,大埔鄉獨棟住宅套房 - 61平方公尺/2間專用衛浴 ,杉林區,no info,no info,3583
344,鳳山區公寓套房 - 6平方公尺/1間專用衛浴 ,鳳山區,no info,no info,1378
345,Fengshan No 79 Backpacker,鳳山區,10.0,1,1756
346,大埔鄉獨棟住宅套房 - 61平方公尺/0間專用衛浴 ,杉林區,no info,no info,4530
347,街景雙人房A - 近捷運/三多商圈 ,苓雅區,7.6,2,1489
348,妞妞與夢卡民宿  ,六龜區,8.6,219,3087
349,小港區的2臥室公寓 - 23平方公尺/2間專用衛浴 ,小港區,no info,no info,1514
350,哈瑪之星民宿 ,鼓山區,8.8,43,4277
351,新興區的1臥室公寓 - 40平方公尺/1間專用衛浴 ,新興區,no info,no info,3821
352,WUHOO HOUSE,新興區,8.7,2505,1905
353,Songboling Hot Spring Inn,六龜區,no info,no info,2946
354,大埔鄉獨棟住宅套房 - 61平方公尺/1間專用衛浴 ,杉林區,no info,no info,1778
355,新興區的1臥室公寓 - 35平方公尺/1間專用衛浴 ,新興區,no info,no info,3711
356,大埔鄉獨棟住宅套房 - 61平方公尺/2間專用衛浴 ,杉林區,no info,no info,1778
357,新興區的1臥室公寓 - 32平方公尺/1間專用衛浴 ,新興區,no info,no info,2603
358,左營蓮潭郭家百年古厝 ,左營區,9.1,404,1311
359,新興區的1臥室公寓 - 35平方公尺/1間專用衛浴 ,新興區,no info,no info,3155
