,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
323,台北金莎旗艦精品旅館,三峽區,7.7,188.0,2375,24.944767,121.378846
324,溪隱之宿,平溪區,8.5,309.0,2120,25.0250422,121.7378541
325,幸福蘋果旅店,西門町,8.6,423.0,2147,25.044275,121.504104
326,四季山妍溫泉會館,烏來區,7.3,778.0,3209,24.859264,121.5483032
327,火車頭民宿,淡水區,9.1,213.0,1558,25.1693908,121.4437475
328,一等好旅店,松山區,7.9,298.0,1299,25.049617,121.574009
329,士林厝,士林區,8.3,977.0,1557,25.0901637,121.5235717
330,Dan hostel,西門町,9.0,1499.0,2597,25.0413648,121.5066425
331,T.O.Hotel-北車館,中正區,8.9,1074.0,2104,25.0448234,121.5137955
332,清芳民宿 - 瑞芳車站,九份,8.1,1525.0,597,25.1072753,121.8054856
333,橋頭居,大同區,8.6,87.0,1105,25.0649699,121.5139119
334,紫園旅店,大同區,7.9,1011.0,1385,25.0505909,121.520036
335,正 旅館,中正區,8.4,4018.0,1358,25.0468926,121.5134161
336,采舍精品旅館,中山區,8.3,571.0,1364,25.0647084,121.5268758
337,EN INN,淡水區,9.0,270.0,1947,25.096323,121.4976335
338,天馬旅宿,九份,9.1,277.0,1942,25.1080877,121.8555182
339,九份金瓜石樹屋137,九份,9.4,65.0,4329,25.1132245,121.8537162
340,貝斯特旅店,松山區,7.6,667.0,1039,25.049854,121.575518
341,瑞芳老街-嫚嫚窩民宿,瑞芳區,8.8,536.0,1299,25.1094121,121.8083253
342,台北109青旅,中正區,9.0,921.0,1835,25.0460472,121.5111933
343,龍山商旅,萬華區,8.1,760.0,1442,25.0376245,121.4998594
344,意芙旅店,大同區,8.3,635.0,1022,25.0591972,121.5115583
345,路徒Plus行旅-站前館,中正區,9.1,84.0,3958,25.0468664,121.5137659
346,璞漣商旅 - 台北車站店,中正區,8.1,2761.0,2369,25.05015,121.515562
347,友徠精品旅館,南港區,7.0,359.0,2147,25.0561914,121.596505
348,九份貓窩,九份,9.1,997.0,1419,25.1090719,121.845595
349,西門大飯店 - A館,西門町,7.9,3459.0,329,25.045564,121.508804
350,Triple Tiger Hostel,西門町,8.5,1227.0,1154,25.0436963,121.5045402
351,紅菱閣旅店,西門町,8.2,850.0,1108,25.044105,121.5041129
352,長富時尚旅店,中山區,8.5,2498.0,1733,25.0548164,121.5259876
353,和風小築,九份,8.8,588.0,1391,25.1096651,121.8455672
